item_i_index,item_j_index,item_i,item_j,distance,d_ij,c_j
0,55,Start Node,Bagel Bites,165,16.5,2.79
0,56,Start Node,"Pizza (12"")",195,19.5,8.99
1,0,Coffee Beans,Start Node,15,1.5,0
1,1,Coffee Beans,Coffee Beans,0,0.0,6.99
1,2,Coffee Beans,K-Cups,20,2.0,10.99
1,3,Coffee Beans,Capt. Crunch,50,5.0,3.99
1,4,Coffee Beans,Chewy Bars,75,7.5,3.69
1,5,Coffee Beans,Granola,85,8.5,5.49
1,6,Coffee Beans,Hershey's,110,11.0,2.69
1,7,Coffee Beans,Flour,90,9.0,4.99
1,8,Coffee Beans,Syrup,80,8.0,2.49
1,9,Coffee Beans,Brownie Mix,50,5.0,2.29
1,10,Coffee Beans,Seasoning,35,3.5,3.99
1,11,Coffee Beans,Soup,60,6.0,1.99
1,12,Coffee Beans,Mac & Cheese,80,8.0,2.69
1,13,Coffee Beans,Ketchup,110,11.0,3.49
1,14,Coffee Beans,Pickles,115,11.5,2.99
1,15,Coffee Beans,Italian Dressing,120,12.0,3.99
1,16,Coffee Beans,Soy Sauce,140,14.0,2.49
1,17,Coffee Beans,Penne,135,13.5,3.49
1,18,Coffee Beans,CapriSun,130,13.0,2.49
1,19,Coffee Beans,Tortillas,90,9.0,1.99
1,20,Coffee Beans,Tomato Sauce,60,6.0,2.99
1,21,Coffee Beans,Ibuprofen,75,7.5,5.49
1,22,Coffee Beans,Diapers,90,9.0,25.99
1,23,Coffee Beans,Tootpaste,150,15.0,3.99
1,24,Coffee Beans,Tampons,140,14.0,5.29
1,25,Coffee Beans,Shampoo,145,14.5,8.99
1,26,Coffee Beans,Toilet Paper,80,8.0,7.99
1,27,Coffee Beans,Paper Towels,90,9.0,9.99
1,28,Coffee Beans,Napkins,110,11.0,3.29
1,29,Coffee Beans,Solo Cups,130,13.0,5.69
1,30,Coffee Beans,Trash Bags,160,16.0,8.99
1,31,Coffee Beans,Dish Soap,90,9.0,2.99
1,32,Coffee Beans,Detergent,95,9.5,12.99
1,33,Coffee Beans,Broom,110,11.0,13.99
1,34,Coffee Beans,Dog Treats,140,14.0,3.99
1,35,Coffee Beans,Air Freshner,150,15.0,6.99
1,36,Coffee Beans,Oreos,170,17.0,3.99
1,37,Coffee Beans,Popcorn,140,14.0,3.49
1,38,Coffee Beans,Gatorade (12),120,12.0,6.99
1,39,Coffee Beans,Redbull (4),115,11.5,7.99
1,40,Coffee Beans,Ritz,100,10.0,3.99
1,41,Coffee Beans,Coca Cola (12),110,11.0,5.99
1,42,Coffee Beans,LaCroix (12),120,12.0,5.49
1,43,Coffee Beans,Pepsi (12),115,11.5,5.99
1,44,Coffee Beans,Seltzer (6),180,18.0,3.99
1,45,Coffee Beans,Bottled Water (24),185,18.5,4.99
1,46,Coffee Beans,Milk Gallon,120,12.0,3.79
1,47,Coffee Beans,Butter Sticks,150,15.0,2.99
1,48,Coffee Beans,Cookie Dough,155,15.5,3.99
1,49,Coffee Beans,Chobani (4),170,17.0,4.49
1,50,Coffee Beans,Eggs (12),200,20.0,3.99
1,51,Coffee Beans,Waffles,200,20.0,3.79
1,52,Coffee Beans,Taquitos,160,16.0,6.99
1,53,Coffee Beans,Breyer's Ice Cream,150,15.0,4.99
1,54,Coffee Beans,Lasagna,170,17.0,9.99
1,55,Coffee Beans,Bagel Bites,180,18.0,2.79
1,56,Coffee Beans,"Pizza (12"")",210,21.0,8.99
2,0,K-Cups,Start Node,35,3.5,0
2,1,K-Cups,Coffee Beans,20,2.0,6.99
2,2,K-Cups,K-Cups,0,0.0,10.99
2,3,K-Cups,Capt. Crunch,30,3.0,3.99
2,4,K-Cups,Chewy Bars,55,5.5,3.69
2,5,K-Cups,Granola,65,6.5,5.49
2,6,K-Cups,Hershey's,110,11.0,2.69
2,7,K-Cups,Flour,110,11.0,4.99
2,8,K-Cups,Syrup,100,10.0,2.49
2,9,K-Cups,Brownie Mix,70,7.0,2.29
2,10,K-Cups,Seasoning,55,5.5,3.99
2,11,K-Cups,Soup,80,8.0,1.99
2,12,K-Cups,Mac & Cheese,100,10.0,2.69
2,13,K-Cups,Ketchup,130,13.0,3.49
2,14,K-Cups,Pickles,125,12.5,2.99
2,15,K-Cups,Italian Dressing,120,12.0,3.99
2,16,K-Cups,Soy Sauce,120,12.0,2.49
2,17,K-Cups,Penne,125,12.5,3.49
2,18,K-Cups,CapriSun,130,13.0,2.49
2,19,K-Cups,Tortillas,110,11.0,1.99
2,20,K-Cups,Tomato Sauce,80,8.0,2.99
2,21,K-Cups,Ibuprofen,95,9.5,5.49
2,22,K-Cups,Diapers,110,11.0,25.99
2,23,K-Cups,Tootpaste,130,13.0,3.99
2,24,K-Cups,Tampons,140,14.0,5.29
2,25,K-Cups,Shampoo,125,12.5,8.99
2,26,K-Cups,Toilet Paper,100,10.0,7.99
2,27,K-Cups,Paper Towels,110,11.0,9.99
2,28,K-Cups,Napkins,130,13.0,3.29
2,29,K-Cups,Solo Cups,150,15.0,5.69
2,30,K-Cups,Trash Bags,140,14.0,8.99
2,31,K-Cups,Dish Soap,110,11.0,2.99
2,32,K-Cups,Detergent,115,11.5,12.99
2,33,K-Cups,Broom,130,13.0,13.99
2,34,K-Cups,Dog Treats,160,16.0,3.99
2,35,K-Cups,Air Freshner,170,17.0,6.99
2,36,K-Cups,Oreos,170,17.0,3.99
2,37,K-Cups,Popcorn,160,16.0,3.49
2,38,K-Cups,Gatorade (12),140,14.0,6.99
2,39,K-Cups,Redbull (4),135,13.5,7.99
2,40,K-Cups,Ritz,120,12.0,3.99
2,41,K-Cups,Coca Cola (12),130,13.0,5.99
2,42,K-Cups,LaCroix (12),140,14.0,5.49
2,43,K-Cups,Pepsi (12),135,13.5,5.99
2,44,K-Cups,Seltzer (6),180,18.0,3.99
2,45,K-Cups,Bottled Water (24),165,16.5,4.99
2,46,K-Cups,Milk Gallon,140,14.0,3.79
2,47,K-Cups,Butter Sticks,170,17.0,2.99
2,48,K-Cups,Cookie Dough,175,17.5,3.99
2,49,K-Cups,Chobani (4),190,19.0,4.49
2,50,K-Cups,Eggs (12),180,18.0,3.99
2,51,K-Cups,Waffles,200,20.0,3.79
2,52,K-Cups,Taquitos,180,18.0,6.99
2,53,K-Cups,Breyer's Ice Cream,170,17.0,4.99
2,54,K-Cups,Lasagna,190,19.0,9.99
2,55,K-Cups,Bagel Bites,200,20.0,2.79
2,56,K-Cups,"Pizza (12"")",190,19.0,8.99
3,0,Capt. Crunch,Start Node,65,6.5,0
3,1,Capt. Crunch,Coffee Beans,50,5.0,6.99
3,2,Capt. Crunch,K-Cups,30,3.0,10.99
3,3,Capt. Crunch,Capt. Crunch,0,0.0,3.99
3,4,Capt. Crunch,Chewy Bars,25,2.5,3.69
3,5,Capt. Crunch,Granola,35,3.5,5.49
3,6,Capt. Crunch,Hershey's,80,8.0,2.69
3,7,Capt. Crunch,Flour,100,10.0,4.99
3,8,Capt. Crunch,Syrup,110,11.0,2.49
3,9,Capt. Crunch,Brownie Mix,100,10.0,2.29
3,10,Capt. Crunch,Seasoning,85,8.5,3.99
3,11,Capt. Crunch,Soup,110,11.0,1.99
3,12,Capt. Crunch,Mac & Cheese,130,13.0,2.69
3,13,Capt. Crunch,Ketchup,100,10.0,3.49
3,14,Capt. Crunch,Pickles,95,9.5,2.99
3,15,Capt. Crunch,Italian Dressing,90,9.0,3.99
3,16,Capt. Crunch,Soy Sauce,90,9.0,2.49
3,17,Capt. Crunch,Penne,95,9.5,3.49
3,18,Capt. Crunch,CapriSun,100,10.0,2.49
3,19,Capt. Crunch,Tortillas,140,14.0,1.99
3,20,Capt. Crunch,Tomato Sauce,110,11.0,2.99
3,21,Capt. Crunch,Ibuprofen,125,12.5,5.49
3,22,Capt. Crunch,Diapers,140,14.0,25.99
3,23,Capt. Crunch,Tootpaste,100,10.0,3.99
3,24,Capt. Crunch,Tampons,110,11.0,5.29
3,25,Capt. Crunch,Shampoo,95,9.5,8.99
3,26,Capt. Crunch,Toilet Paper,130,13.0,7.99
3,27,Capt. Crunch,Paper Towels,140,14.0,9.99
3,28,Capt. Crunch,Napkins,160,16.0,3.29
3,29,Capt. Crunch,Solo Cups,140,14.0,5.69
3,30,Capt. Crunch,Trash Bags,110,11.0,8.99
3,31,Capt. Crunch,Dish Soap,140,14.0,2.99
3,32,Capt. Crunch,Detergent,145,14.5,12.99
3,33,Capt. Crunch,Broom,160,16.0,13.99
3,34,Capt. Crunch,Dog Treats,150,15.0,3.99
3,35,Capt. Crunch,Air Freshner,140,14.0,6.99
3,36,Capt. Crunch,Oreos,140,14.0,3.99
3,37,Capt. Crunch,Popcorn,170,17.0,3.49
3,38,Capt. Crunch,Gatorade (12),170,17.0,6.99
3,39,Capt. Crunch,Redbull (4),165,16.5,7.99
3,40,Capt. Crunch,Ritz,150,15.0,3.99
3,41,Capt. Crunch,Coca Cola (12),160,16.0,5.99
3,42,Capt. Crunch,LaCroix (12),170,17.0,5.49
3,43,Capt. Crunch,Pepsi (12),165,16.5,5.99
3,44,Capt. Crunch,Seltzer (6),150,15.0,3.99
3,45,Capt. Crunch,Bottled Water (24),135,13.5,4.99
3,46,Capt. Crunch,Milk Gallon,170,17.0,3.79
3,47,Capt. Crunch,Butter Sticks,200,20.0,2.99
3,48,Capt. Crunch,Cookie Dough,195,19.5,3.99
3,49,Capt. Crunch,Chobani (4),180,18.0,4.49
3,50,Capt. Crunch,Eggs (12),150,15.0,3.99
3,51,Capt. Crunch,Waffles,170,17.0,3.79
3,52,Capt. Crunch,Taquitos,210,21.0,6.99
3,53,Capt. Crunch,Breyer's Ice Cream,200,20.0,4.99
3,54,Capt. Crunch,Lasagna,200,20.0,9.99
3,55,Capt. Crunch,Bagel Bites,190,19.0,2.79
3,56,Capt. Crunch,"Pizza (12"")",160,16.0,8.99
4,0,Chewy Bars,Start Node,90,9.0,0
4,1,Chewy Bars,Coffee Beans,75,7.5,6.99
4,2,Chewy Bars,K-Cups,55,5.5,10.99
4,3,Chewy Bars,Capt. Crunch,25,2.5,3.99
4,4,Chewy Bars,Chewy Bars,0,0.0,3.69
4,5,Chewy Bars,Granola,10,1.0,5.49
4,6,Chewy Bars,Hershey's,55,5.5,2.69
4,7,Chewy Bars,Flour,75,7.5,4.99
4,8,Chewy Bars,Syrup,85,8.5,2.49
4,9,Chewy Bars,Brownie Mix,115,11.5,2.29
4,10,Chewy Bars,Seasoning,110,11.0,3.99
4,11,Chewy Bars,Soup,125,12.5,1.99
4,12,Chewy Bars,Mac & Cheese,105,10.5,2.69
4,13,Chewy Bars,Ketchup,75,7.5,3.49
4,14,Chewy Bars,Pickles,70,7.0,2.99
4,15,Chewy Bars,Italian Dressing,65,6.5,3.99
4,16,Chewy Bars,Soy Sauce,65,6.5,2.49
4,17,Chewy Bars,Penne,70,7.0,3.49
4,18,Chewy Bars,CapriSun,75,7.5,2.49
4,19,Chewy Bars,Tortillas,115,11.5,1.99
4,20,Chewy Bars,Tomato Sauce,135,13.5,2.99
4,21,Chewy Bars,Ibuprofen,150,15.0,5.49
4,22,Chewy Bars,Diapers,135,13.5,25.99
4,23,Chewy Bars,Tootpaste,75,7.5,3.99
4,24,Chewy Bars,Tampons,85,8.5,5.29
4,25,Chewy Bars,Shampoo,70,7.0,8.99
4,26,Chewy Bars,Toilet Paper,155,15.5,7.99
4,27,Chewy Bars,Paper Towels,155,15.5,9.99
4,28,Chewy Bars,Napkins,135,13.5,3.29
4,29,Chewy Bars,Solo Cups,115,11.5,5.69
4,30,Chewy Bars,Trash Bags,85,8.5,8.99
4,31,Chewy Bars,Dish Soap,165,16.5,2.99
4,32,Chewy Bars,Detergent,170,17.0,12.99
4,33,Chewy Bars,Broom,155,15.5,13.99
4,34,Chewy Bars,Dog Treats,125,12.5,3.99
4,35,Chewy Bars,Air Freshner,115,11.5,6.99
4,36,Chewy Bars,Oreos,115,11.5,3.99
4,37,Chewy Bars,Popcorn,145,14.5,3.49
4,38,Chewy Bars,Gatorade (12),165,16.5,6.99
4,39,Chewy Bars,Redbull (4),170,17.0,7.99
4,40,Chewy Bars,Ritz,175,17.5,3.99
4,41,Chewy Bars,Coca Cola (12),185,18.5,5.99
4,42,Chewy Bars,LaCroix (12),185,18.5,5.49
4,43,Chewy Bars,Pepsi (12),190,19.0,5.99
4,44,Chewy Bars,Seltzer (6),125,12.5,3.99
4,45,Chewy Bars,Bottled Water (24),110,11.0,4.99
4,46,Chewy Bars,Milk Gallon,195,19.5,3.79
4,47,Chewy Bars,Butter Sticks,175,17.5,2.99
4,48,Chewy Bars,Cookie Dough,170,17.0,3.99
4,49,Chewy Bars,Chobani (4),155,15.5,4.49
4,50,Chewy Bars,Eggs (12),125,12.5,3.99
4,51,Chewy Bars,Waffles,145,14.5,3.79
4,52,Chewy Bars,Taquitos,185,18.5,6.99
4,53,Chewy Bars,Breyer's Ice Cream,195,19.5,4.99
4,54,Chewy Bars,Lasagna,175,17.5,9.99
4,55,Chewy Bars,Bagel Bites,165,16.5,2.79
4,56,Chewy Bars,"Pizza (12"")",135,13.5,8.99
5,0,Granola,Start Node,100,10.0,0
5,1,Granola,Coffee Beans,85,8.5,6.99
5,2,Granola,K-Cups,65,6.5,10.99
5,3,Granola,Capt. Crunch,35,3.5,3.99
5,4,Granola,Chewy Bars,10,1.0,3.69
5,5,Granola,Granola,0,0.0,5.49
5,6,Granola,Hershey's,45,4.5,2.69
5,7,Granola,Flour,65,6.5,4.99
5,8,Granola,Syrup,75,7.5,2.49
5,9,Granola,Brownie Mix,105,10.5,2.29
5,10,Granola,Seasoning,120,12.0,3.99
5,11,Granola,Soup,115,11.5,1.99
5,12,Granola,Mac & Cheese,95,9.5,2.69
5,13,Granola,Ketchup,65,6.5,3.49
5,14,Granola,Pickles,60,6.0,2.99
5,15,Granola,Italian Dressing,55,5.5,3.99
5,16,Granola,Soy Sauce,55,5.5,2.49
5,17,Granola,Penne,60,6.0,3.49
5,18,Granola,CapriSun,65,6.5,2.49
5,19,Granola,Tortillas,105,10.5,1.99
5,20,Granola,Tomato Sauce,135,13.5,2.99
5,21,Granola,Ibuprofen,140,14.0,5.49
5,22,Granola,Diapers,125,12.5,25.99
5,23,Granola,Tootpaste,65,6.5,3.99
5,24,Granola,Tampons,75,7.5,5.29
5,25,Granola,Shampoo,60,6.0,8.99
5,26,Granola,Toilet Paper,155,15.5,7.99
5,27,Granola,Paper Towels,145,14.5,9.99
5,28,Granola,Napkins,125,12.5,3.29
5,29,Granola,Solo Cups,105,10.5,5.69
5,30,Granola,Trash Bags,75,7.5,8.99
5,31,Granola,Dish Soap,165,16.5,2.99
5,32,Granola,Detergent,160,16.0,12.99
5,33,Granola,Broom,145,14.5,13.99
5,34,Granola,Dog Treats,115,11.5,3.99
5,35,Granola,Air Freshner,105,10.5,6.99
5,36,Granola,Oreos,105,10.5,3.99
5,37,Granola,Popcorn,135,13.5,3.49
5,38,Granola,Gatorade (12),155,15.5,6.99
5,39,Granola,Redbull (4),160,16.0,7.99
5,40,Granola,Ritz,175,17.5,3.99
5,41,Granola,Coca Cola (12),185,18.5,5.99
5,42,Granola,LaCroix (12),175,17.5,5.49
5,43,Granola,Pepsi (12),180,18.0,5.99
5,44,Granola,Seltzer (6),115,11.5,3.99
5,45,Granola,Bottled Water (24),100,10.0,4.99
5,46,Granola,Milk Gallon,195,19.5,3.79
5,47,Granola,Butter Sticks,165,16.5,2.99
5,48,Granola,Cookie Dough,160,16.0,3.99
5,49,Granola,Chobani (4),145,14.5,4.49
5,50,Granola,Eggs (12),115,11.5,3.99
5,51,Granola,Waffles,135,13.5,3.79
5,52,Granola,Taquitos,175,17.5,6.99
5,53,Granola,Breyer's Ice Cream,185,18.5,4.99
5,54,Granola,Lasagna,165,16.5,9.99
5,55,Granola,Bagel Bites,155,15.5,2.79
5,56,Granola,"Pizza (12"")",125,12.5,8.99
6,0,Hershey's,Start Node,95,9.5,0
6,1,Hershey's,Coffee Beans,110,11.0,6.99
6,2,Hershey's,K-Cups,110,11.0,10.99
6,3,Hershey's,Capt. Crunch,80,8.0,3.99
6,4,Hershey's,Chewy Bars,55,5.5,3.69
6,5,Hershey's,Granola,45,4.5,5.49
6,6,Hershey's,Hershey's,0,0.0,2.69
6,7,Hershey's,Flour,20,2.0,4.99
6,8,Hershey's,Syrup,30,3.0,2.49
6,9,Hershey's,Brownie Mix,60,6.0,2.29
6,10,Hershey's,Seasoning,75,7.5,3.99
6,11,Hershey's,Soup,120,12.0,1.99
6,12,Hershey's,Mac & Cheese,100,10.0,2.69
6,13,Hershey's,Ketchup,70,7.0,3.49
6,14,Hershey's,Pickles,65,6.5,2.99
6,15,Hershey's,Italian Dressing,60,6.0,3.99
6,16,Hershey's,Soy Sauce,60,6.0,2.49
6,17,Hershey's,Penne,65,6.5,3.49
6,18,Hershey's,CapriSun,70,7.0,2.49
6,19,Hershey's,Tortillas,110,11.0,1.99
6,20,Hershey's,Tomato Sauce,120,12.0,2.99
6,21,Hershey's,Ibuprofen,135,13.5,5.49
6,22,Hershey's,Diapers,130,13.0,25.99
6,23,Hershey's,Tootpaste,70,7.0,3.99
6,24,Hershey's,Tampons,80,8.0,5.29
6,25,Hershey's,Shampoo,65,6.5,8.99
6,26,Hershey's,Toilet Paper,140,14.0,7.99
6,27,Hershey's,Paper Towels,150,15.0,9.99
6,28,Hershey's,Napkins,130,13.0,3.29
6,29,Hershey's,Solo Cups,110,11.0,5.69
6,30,Hershey's,Trash Bags,80,8.0,8.99
6,31,Hershey's,Dish Soap,150,15.0,2.99
6,32,Hershey's,Detergent,155,15.5,12.99
6,33,Hershey's,Broom,150,15.0,13.99
6,34,Hershey's,Dog Treats,120,12.0,3.99
6,35,Hershey's,Air Freshner,110,11.0,6.99
6,36,Hershey's,Oreos,110,11.0,3.99
6,37,Hershey's,Popcorn,140,14.0,3.49
6,38,Hershey's,Gatorade (12),160,16.0,6.99
6,39,Hershey's,Redbull (4),165,16.5,7.99
6,40,Hershey's,Ritz,160,16.0,3.99
6,41,Hershey's,Coca Cola (12),170,17.0,5.99
6,42,Hershey's,LaCroix (12),180,18.0,5.49
6,43,Hershey's,Pepsi (12),175,17.5,5.99
6,44,Hershey's,Seltzer (6),120,12.0,3.99
6,45,Hershey's,Bottled Water (24),105,10.5,4.99
6,46,Hershey's,Milk Gallon,180,18.0,3.79
6,47,Hershey's,Butter Sticks,170,17.0,2.99
6,48,Hershey's,Cookie Dough,165,16.5,3.99
6,49,Hershey's,Chobani (4),150,15.0,4.49
6,50,Hershey's,Eggs (12),120,12.0,3.99
6,51,Hershey's,Waffles,140,14.0,3.79
6,52,Hershey's,Taquitos,180,18.0,6.99
6,53,Hershey's,Breyer's Ice Cream,190,19.0,4.99
6,54,Hershey's,Lasagna,170,17.0,9.99
6,55,Hershey's,Bagel Bites,160,16.0,2.79
6,56,Hershey's,"Pizza (12"")",130,13.0,8.99
7,0,Flour,Start Node,75,7.5,0
7,1,Flour,Coffee Beans,90,9.0,6.99
7,2,Flour,K-Cups,110,11.0,10.99
7,3,Flour,Capt. Crunch,100,10.0,3.99
7,4,Flour,Chewy Bars,75,7.5,3.69
7,5,Flour,Granola,65,6.5,5.49
7,6,Flour,Hershey's,20,2.0,2.69
7,7,Flour,Flour,0,0.0,4.99
7,8,Flour,Syrup,10,1.0,2.49
7,9,Flour,Brownie Mix,40,4.0,2.29
7,10,Flour,Seasoning,55,5.5,3.99
7,11,Flour,Soup,100,10.0,1.99
7,12,Flour,Mac & Cheese,120,12.0,2.69
7,13,Flour,Ketchup,90,9.0,3.49
7,14,Flour,Pickles,85,8.5,2.99
7,15,Flour,Italian Dressing,80,8.0,3.99
7,16,Flour,Soy Sauce,80,8.0,2.49
7,17,Flour,Penne,85,8.5,3.49
7,18,Flour,CapriSun,90,9.0,2.49
7,19,Flour,Tortillas,130,13.0,1.99
7,20,Flour,Tomato Sauce,100,10.0,2.99
7,21,Flour,Ibuprofen,115,11.5,5.49
7,22,Flour,Diapers,130,13.0,25.99
7,23,Flour,Tootpaste,90,9.0,3.99
7,24,Flour,Tampons,100,10.0,5.29
7,25,Flour,Shampoo,85,8.5,8.99
7,26,Flour,Toilet Paper,120,12.0,7.99
7,27,Flour,Paper Towels,130,13.0,9.99
7,28,Flour,Napkins,150,15.0,3.29
7,29,Flour,Solo Cups,130,13.0,5.69
7,30,Flour,Trash Bags,100,10.0,8.99
7,31,Flour,Dish Soap,130,13.0,2.99
7,32,Flour,Detergent,135,13.5,12.99
7,33,Flour,Broom,150,15.0,13.99
7,34,Flour,Dog Treats,140,14.0,3.99
7,35,Flour,Air Freshner,130,13.0,6.99
7,36,Flour,Oreos,130,13.0,3.99
7,37,Flour,Popcorn,160,16.0,3.49
7,38,Flour,Gatorade (12),160,16.0,6.99
7,39,Flour,Redbull (4),155,15.5,7.99
7,40,Flour,Ritz,140,14.0,3.99
7,41,Flour,Coca Cola (12),150,15.0,5.99
7,42,Flour,LaCroix (12),160,16.0,5.49
7,43,Flour,Pepsi (12),155,15.5,5.99
7,44,Flour,Seltzer (6),140,14.0,3.99
7,45,Flour,Bottled Water (24),125,12.5,4.99
7,46,Flour,Milk Gallon,160,16.0,3.79
7,47,Flour,Butter Sticks,190,19.0,2.99
7,48,Flour,Cookie Dough,185,18.5,3.99
7,49,Flour,Chobani (4),170,17.0,4.49
7,50,Flour,Eggs (12),140,14.0,3.99
7,51,Flour,Waffles,160,16.0,3.79
7,52,Flour,Taquitos,200,20.0,6.99
7,53,Flour,Breyer's Ice Cream,190,19.0,4.99
7,54,Flour,Lasagna,190,19.0,9.99
7,55,Flour,Bagel Bites,180,18.0,2.79
7,56,Flour,"Pizza (12"")",150,15.0,8.99
8,0,Syrup,Start Node,65,6.5,0
8,1,Syrup,Coffee Beans,80,8.0,6.99
8,2,Syrup,K-Cups,100,10.0,10.99
8,3,Syrup,Capt. Crunch,110,11.0,3.99
8,4,Syrup,Chewy Bars,85,8.5,3.69
8,5,Syrup,Granola,75,7.5,5.49
8,6,Syrup,Hershey's,30,3.0,2.69
8,7,Syrup,Flour,10,1.0,4.99
8,8,Syrup,Syrup,0,0.0,2.49
8,9,Syrup,Brownie Mix,30,3.0,2.29
8,10,Syrup,Seasoning,45,4.5,3.99
8,11,Syrup,Soup,90,9.0,1.99
8,12,Syrup,Mac & Cheese,110,11.0,2.69
8,13,Syrup,Ketchup,100,10.0,3.49
8,14,Syrup,Pickles,95,9.5,2.99
8,15,Syrup,Italian Dressing,90,9.0,3.99
8,16,Syrup,Soy Sauce,90,9.0,2.49
8,17,Syrup,Penne,95,9.5,3.49
8,18,Syrup,CapriSun,100,10.0,2.49
8,19,Syrup,Tortillas,120,12.0,1.99
8,20,Syrup,Tomato Sauce,90,9.0,2.99
8,21,Syrup,Ibuprofen,105,10.5,5.49
8,22,Syrup,Diapers,120,12.0,25.99
8,23,Syrup,Tootpaste,100,10.0,3.99
8,24,Syrup,Tampons,110,11.0,5.29
8,25,Syrup,Shampoo,95,9.5,8.99
8,26,Syrup,Toilet Paper,110,11.0,7.99
8,27,Syrup,Paper Towels,120,12.0,9.99
8,28,Syrup,Napkins,140,14.0,3.29
8,29,Syrup,Solo Cups,140,14.0,5.69
8,30,Syrup,Trash Bags,110,11.0,8.99
8,31,Syrup,Dish Soap,120,12.0,2.99
8,32,Syrup,Detergent,125,12.5,12.99
8,33,Syrup,Broom,140,14.0,13.99
8,34,Syrup,Dog Treats,150,15.0,3.99
8,35,Syrup,Air Freshner,140,14.0,6.99
8,36,Syrup,Oreos,140,14.0,3.99
8,37,Syrup,Popcorn,170,17.0,3.49
8,38,Syrup,Gatorade (12),150,15.0,6.99
8,39,Syrup,Redbull (4),145,14.5,7.99
8,40,Syrup,Ritz,130,13.0,3.99
8,41,Syrup,Coca Cola (12),140,14.0,5.99
8,42,Syrup,LaCroix (12),150,15.0,5.49
8,43,Syrup,Pepsi (12),145,14.5,5.99
8,44,Syrup,Seltzer (6),150,15.0,3.99
8,45,Syrup,Bottled Water (24),135,13.5,4.99
8,46,Syrup,Milk Gallon,150,15.0,3.79
8,47,Syrup,Butter Sticks,180,18.0,2.99
8,48,Syrup,Cookie Dough,185,18.5,3.99
8,49,Syrup,Chobani (4),180,18.0,4.49
8,50,Syrup,Eggs (12),150,15.0,3.99
8,51,Syrup,Waffles,170,17.0,3.79
8,52,Syrup,Taquitos,190,19.0,6.99
8,53,Syrup,Breyer's Ice Cream,180,18.0,4.99
8,54,Syrup,Lasagna,200,20.0,9.99
8,55,Syrup,Bagel Bites,190,19.0,2.79
8,56,Syrup,"Pizza (12"")",160,16.0,8.99
9,0,Brownie Mix,Start Node,35,3.5,0
9,1,Brownie Mix,Coffee Beans,50,5.0,6.99
9,2,Brownie Mix,K-Cups,70,7.0,10.99
9,3,Brownie Mix,Capt. Crunch,100,10.0,3.99
9,4,Brownie Mix,Chewy Bars,115,11.5,3.69
